City,Price,Beds,Baths,SQFT,LotSize,YearBuilt,Age,Parking,DOM,BeenReduced,LAT,LONG,ShortSale,Validation
St. Paul,135000,3,1,1334,5662,1964,50,4,65,N,44.987381,-93.086624,FALSE,Training
St. Paul,154900,2,1,1112,6098,1914,100,1,137,Y,44.976654,-93.165451,FALSE,Test
St. Paul,199900,2,1.75,1384,5227,1931,83,1,113,Y,44.987663,-93.153656,FALSE,Validation
St. Paul,146900,3,1.75,2692,6534,1975,39,5,137,Y,44.933338,-93.077408,FALSE,Training
Minneapolis,159900,3,2.25,1651,5662,2013,1,2,106,Y,45.000957,-93.301086,FALSE,Training
St. Paul,224900,3,1.5,1625,5227,1934,80,2,74,N,44.988068,-93.16011,FALSE,Validation
St. Paul,89000,3,1,1103,7840,1890,124,2,43,Y,44.978489,-93.166176,FALSE,Test
St. Paul,119900,1,1.75,851,3049,1918,96,1,21,N,44.979389,-93.166245,FALSE,Training
St. Paul,115000,3,1,888,6098,1955,59,2,14,N,44.988834,-93.048584,FALSE,Validation
St. Paul,169900,4,2.5,1196,8276,1923,91,2,10,N,44.988796,-93.043434,FALSE,Training
St. Paul,174900,3,1,1686,7405,1951,63,2,37,N,44.918892,-93.143372,FALSE,Test
St. Paul,120000,3,1,1140,7448,1974,40,1,64,N,44.956158,-93.033577,FALSE,Training
St. Paul,239741,4,2,1759,4791,2012,2,2,137,N,44.962073,-93.033416,FALSE,Training
St. Paul,165000,3,2,2085,6534,1960,54,3,6,N,44.982689,-93.033516,FALSE,Training
St. Paul,92000,4,2,1690,6969,1953,61,2,4,N,44.988647,-93.033539,TRUE,Test
St. Paul,169900,3,1,1345,6098,1955,59,2,70,N,44.983604,-93.033318,FALSE,Validation
St. Paul,139000,3,1,1272,4791,1966,48,1,5,N,44.96159,-93.033142,FALSE,Training
Minneapolis,227900,4,0.75,1920,5227,1900,114,4,109,Y,45.004318,-93.258514,FALSE,Training
Minneapolis,94900,5,2,1820,5227,1940,74,2,77,Y,45.001781,-93.301086,FALSE,Training
St. Paul,209900,3,1,1401,5227,1927,87,1,68,N,44.98959,-93.155663,FALSE,Test
Minneapolis,210000,4,2,1555,4356,1982,32,5,110,Y,45.004551,-93.267303,FALSE,Training
Minneapolis,178000,3,1.5,1531,6098,1939,75,1,5,N,45.004459,-93.269226,FALSE,Training
Minneapolis,224900,4,1.75,1680,6534,1953,61,5,42,N,45.004688,-93.238823,FALSE,Test
St. Paul,129900,4,1.25,1560,6098,1902,112,0,137,Y,44.951305,-93.064095,FALSE,Training
Minneapolis,149000,3,1.75,1544,5662,1925,89,2,137,Y,45.004772,-93.242645,TRUE,Validation
